Last_Update,Country_Region,Year,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
2020-03-24 23:37:15,Netherlands,2020,5580.0,277.0,0.0,0.0
2020-03-24 23:37:15,Poland,2020,901.0,10.0,0.0,0.0
2020-03-24 23:37:15,Portugal,2020,2362.0,33.0,0.0,0.0
2020-03-24 23:37:15,Romania,2020,794.0,11.0,0.0,0.0
2020-03-24 23:37:15,Slovakia,2020,204.0,0.0,0.0,0.0
2020-03-24 23:37:15,Slovenia,2020,480.0,4.0,0.0,0.0
2020-03-24 23:37:15,Spain,2020,39885.0,2808.0,0.0,0.0
2020-03-24 23:37:15,Sweden,2020,2286.0,36.0,0.0,0.0
2020-03-25 23:33:04,Austria,2020,4760.0,46.0,0.0,0.0
2020-03-25 23:33:04,Belgium,2020,4937.0,178.0,0.0,0.0
2020-03-25 23:33:04,Bulgaria,2020,242.0,3.0,0.0,0.0
2020-03-25 23:33:04,Croatia,2020,442.0,1.0,0.0,0.0
2020-03-25 23:33:04,Cyprus,2020,124.0,3.0,0.0,0.0
2020-03-25 23:33:04,Czechia,2020,1654.0,6.0,0.0,0.0
2020-03-25 23:33:04,Denmark,2020,1862.0,34.0,0.0,0.0
2020-03-25 23:33:04,Estonia,2020,404.0,1.0,0.0,0.0
2020-03-25 23:33:04,Finland,2020,1084.0,16.0,0.0,0.0
2020-03-25 23:33:04,France,2020,25331.0,1333.0,0.0,0.0
2020-03-25 23:33:04,Germany,2020,37323.0,206.0,0.0,0.0
2020-03-25 23:33:04,Greece,2020,835.0,22.0,0.0,0.0
2020-03-25 23:33:04,Hungary,2020,226.0,10.0,0.0,0.0
2020-03-25 23:33:04,Ireland,2020,1564.0,9.0,0.0,0.0
2020-03-25 23:33:04,Italy,2020,74386.0,7503.0,0.0,0.0
2020-03-25 23:33:04,Latvia,2020,221.0,0.0,0.0,0.0
2020-03-25 23:33:04,Lithuania,2020,112.0,2.0,0.0,0.0
2020-03-25 23:33:04,Luxembourg,2020,1333.0,8.0,0.0,0.0
2020-03-25 23:33:04,Malta,2020,129.0,0.0,0.0,0.0
2020-03-25 23:33:04,Netherlands,2020,6438.0,357.0,0.0,0.0
2020-03-25 23:33:04,Poland,2020,1051.0,14.0,0.0,0.0
2020-03-25 23:33:04,Portugal,2020,2995.0,43.0,0.0,0.0
2020-03-25 23:33:04,Romania,2020,906.0,17.0,0.0,0.0
2020-03-25 23:33:04,Slovakia,2020,216.0,0.0,0.0,0.0
2020-03-25 23:33:04,Slovenia,2020,528.0,5.0,0.0,0.0
2020-03-25 23:33:04,Spain,2020,49515.0,3647.0,0.0,0.0
2020-03-25 23:33:04,Sweden,2020,2526.0,62.0,0.0,0.0
2020-03-26 23:48:18,Austria,2020,5483.0,56.0,0.0,0.0
2020-03-26 23:48:18,Belgium,2020,6235.0,220.0,0.0,0.0
2020-03-26 23:48:18,Bulgaria,2020,264.0,3.0,0.0,0.0
2020-03-26 23:48:18,Croatia,2020,495.0,3.0,0.0,0.0
2020-03-26 23:48:18,Cyprus,2020,132.0,3.0,0.0,0.0
2020-03-26 23:48:18,Czechia,2020,1925.0,9.0,0.0,0.0
2020-03-26 23:48:18,Denmark,2020,2023.0,41.0,0.0,0.0
2020-03-26 23:48:18,Estonia,2020,538.0,1.0,0.0,0.0
2020-03-26 23:48:18,Finland,2020,1188.0,21.0,0.0,0.0
2020-03-26 23:48:18,France,2020,29252.0,1697.0,0.0,0.0
2020-03-26 23:48:18,Germany,2020,43938.0,267.0,0.0,0.0
2020-03-26 23:48:18,Greece,2020,835.0,22.0,0.0,0.0
2020-03-26 23:48:18,Hungary,2020,261.0,10.0,0.0,0.0
2020-03-26 23:48:18,Ireland,2020,1819.0,19.0,0.0,0.0
2020-03-26 23:48:18,Italy,2020,80589.0,8215.0,0.0,0.0
2020-03-26 23:48:18,Latvia,2020,244.0,0.0,0.0,0.0
2020-03-26 23:48:18,Lithuania,2020,167.0,3.0,0.0,0.0
2020-03-26 23:48:18,Luxembourg,2020,1453.0,9.0,0.0,0.0
2020-03-26 23:48:18,Malta,2020,134.0,0.0,0.0,0.0
2020-03-26 23:48:18,Netherlands,2020,7468.0,435.0,0.0,0.0
2020-03-26 23:48:18,Poland,2020,1221.0,16.0,0.0,0.0
2020-03-26 23:48:18,Portugal,2020,3544.0,60.0,0.0,0.0
2020-03-26 23:48:18,Romania,2020,1029.0,23.0,0.0,0.0
2020-03-26 23:48:18,Slovakia,2020,226.0,0.0,0.0,0.0
2020-03-26 23:48:18,Slovenia,2020,562.0,6.0,0.0,0.0
2020-03-26 23:48:18,Spain,2020,57786.0,4365.0,0.0,0.0
2020-03-26 23:48:18,Sweden,2020,2840.0,77.0,0.0,0.0
